number_of_trees,leafs,number_of_splits,number_of_predictors,accuracy,ce,time
20,2,200,4,0.971077368040492,-0.0872253346617279,0.1875
20,5,50,6,0.963123644251628,-0.0875038545625297,0.265625
40,5,200,6,0.965292841648591,-0.0878317801625313,0.140625
20,3,100,4,0.968908170643529,-0.0880043529223975,0.171875
20,3,50,6,0.968185104844542,-0.0880635837000386,0.078125
40,3,100,4,0.97180043383948,-0.0881253946383074,0.234375
50,3,50,4,0.970354302241505,-0.0886105105333157,0.25
50,5,200,6,0.963123644251628,-0.0886649773551217,0.203125
20,5,200,6,0.955169920462763,-0.0889456768770061,0.078125
20,2,50,4,0.970354302241505,-0.0899174436962075,0.125
20,3,100,6,0.963123644251628,-0.0908615213738121,0.125
20,5,100,6,0.958785249457702,-0.0911484385652494,0.15625
50,4,100,4,0.966738973246566,-0.0913234662642733,0.21875
20,4,200,4,0.965292841648591,-0.091593496587248,0.078125
20,4,200,6,0.96240057845264,-0.0916810068520862,0.078125
50,4,200,4,0.968908170643529,-0.0917394955628957,0.21875
40,5,50,6,0.963846710050616,-0.0923081568513835,0.359375
20,2,100,4,0.97180043383948,-0.0934391686907188,0.21875
20,2,100,6,0.966015907447579,-0.093683672055704,0.1875
50,4,50,4,0.966738973246566,-0.0947560974832934,0.296875
20,3,50,4,0.963123644251628,-0.094849453406206,0.078125
20,3,200,4,0.969631236442517,-0.0951555714803158,0.171875
40,4,50,4,0.963123644251628,-0.0952856549679714,0.140625
40,3,50,4,0.966015907447579,-0.0965623747119732,0.28125
50,5,100,4,0.964569775849603,-0.0975556805556002,0.234375
40,4,100,4,0.967462039045554,-0.0984648170207235,0.3125
40,4,200,4,0.966015907447579,-0.0995954217752621,0.234375
40,5,200,4,0.965292841648591,-0.0999814029544612,0.265625
10,4,100,6,0.957339117859726,-0.10078744292566,0.046875
50,5,50,4,0.964569775849603,-0.100790121134619,0.21875
10,2,50,6,0.96240057845264,-0.100796673354548,0.046875
20,4,50,4,0.963846710050616,-0.101140689283505,0.09375
20,2,50,6,0.970354302241505,-0.101236229002989,0.3125
50,5,200,4,0.967462039045554,-0.101354925543234,0.25
10,3,50,6,0.958785249457702,-0.102335892311123,0.046875
40,5,50,4,0.961677512653652,-0.104759433894734,0.296875
40,5,100,4,0.963846710050616,-0.104874252426815,0.265625
20,5,200,4,0.958785249457702,-0.105309346634202,0.078125
20,5,100,4,0.96240057845264,-0.106532828450753,0.0625
20,5,50,4,0.958062183658714,-0.107248348829046,0.234375
20,4,100,4,0.957339117859726,-0.109639884487922,0.125
10,5,200,6,0.950108459869849,-0.110877193314093,0.0625
10,5,50,6,0.951554591467825,-0.11580221117527,0.046875
10,5,100,6,0.948662328271874,-0.116525898705953,0.046875
10,4,50,6,0.957339117859726,-0.117731785954287,0.078125
10,2,50,4,0.955169920462763,-0.1212284536526,0.125
10,4,200,4,0.949385394070862,-0.127049756531258,0.125
10,5,50,4,0.951554591467825,-0.129033115430923,0.140625
10,4,100,4,0.950108459869849,-0.138315747200393,0.046875
10,3,200,4,0.953723788864788,-0.140043023525292,0.1875
10,5,100,4,0.947939262472886,-0.142304001593031,0.078125
10,4,200,6,0.951554591467825,-0.143731174945229,0.046875
10,2,200,6,0.963123644251628,-0.144205063975233,0.171875
10,3,50,4,0.954446854663775,-0.149410085053008,0.09375
10,3,100,6,0.956616052060739,-0.152736122245202,0.046875
10,5,200,4,0.946493130874911,-0.160425885695351,0.109375
50,2,100,2,0.967462039045554,-0.161962390975457,0.359375
10,4,50,4,0.946493130874911,-0.163228932534003,0.03125
10,2,100,4,0.952277657266812,-0.163240118103771,0.125
50,2,200,2,0.96240057845264,-0.1652341825054,0.171875
40,2,100,2,0.964569775849603,-0.165532780511364,0.25
40,2,200,2,0.960954446854665,-0.167013863738446,0.34375
10,2,100,6,0.956616052060739,-0.167184714180373,0.09375
10,3,200,6,0.949385394070862,-0.169336743422507,0.140625
40,3,100,2,0.963846710050616,-0.171188567076372,0.1875
10,2,200,4,0.958785249457702,-0.171748673049072,0.078125
50,3,100,2,0.960231381055677,-0.172857525298802,0.265625
20,3,100,2,0.947939262472886,-0.175837539530874,0.140625
50,4,200,2,0.956616052060739,-0.175959308188838,0.296875
20,2,100,2,0.947216196673899,-0.176081106385431,0.078125
50,3,200,2,0.961677512653652,-0.176243754112558,0.171875
20,3,200,2,0.952277657266812,-0.1791909546049,0.078125
40,3,200,2,0.958785249457702,-0.179889856872315,0.40625
50,4,100,2,0.963123644251628,-0.180209757743811,0.25
20,2,200,2,0.955892986261751,-0.181212144840229,0.078125
40,5,200,2,0.954446854663775,-0.181856436106677,0.171875
10,3,100,4,0.958785249457702,-0.182911558665427,0.203125
40,4,200,2,0.959508315256689,-0.184329514331919,0.359375
20,4,100,2,0.949385394070862,-0.186093235996666,0.25
50,5,100,2,0.954446854663775,-0.187063961441783,0.15625
40,5,100,2,0.963846710050616,-0.187790698668374,0.140625
50,2,50,2,0.957339117859726,-0.18987991904017,0.265625
40,4,100,2,0.964569775849603,-0.190174275553446,0.140625
40,4,50,2,0.952277657266812,-0.190911156827803,0.203125
20,4,200,2,0.937093275488071,-0.192755344712014,0.25
20,3,50,2,0.956616052060739,-0.193379137643272,0.25
20,5,50,2,0.947216196673899,-0.193881649746771,0.078125
40,2,50,2,0.954446854663775,-0.196398892506094,0.171875
20,5,200,2,0.948662328271874,-0.19668979148029,0.265625
50,4,50,2,0.957339117859726,-0.198305841999214,0.3125
50,5,50,2,0.959508315256689,-0.200183371246787,0.203125
20,2,50,2,0.946493130874911,-0.200638621805335,0.109375
10,3,100,2,0.936370209689083,-0.201053552119641,0.0625
50,5,200,2,0.949385394070862,-0.201340279911325,0.296875
50,3,50,2,0.952277657266812,-0.204209080157118,0.390625
10,5,50,2,0.939985538684022,-0.20489943762398,0.203125
40,5,50,2,0.950831525668837,-0.210614317127271,0.21875
40,3,50,2,0.947939262472886,-0.210945565238424,0.234375
10,4,200,2,0.935647143890095,-0.21387724809849,0.109375
20,5,100,2,0.940708604483009,-0.220966731398876,0.234375
20,4,50,2,0.94360086767896,-0.23115344776319,0.234375
10,3,50,2,0.926247288503256,-0.234851819006537,0.1875
10,4,50,2,0.911785972523502,-0.236753753001162,0.109375
10,2,100,2,0.926970354302243,-0.237558620648084,0.875
10,3,200,2,0.933477946493132,-0.240008137130456,0.296875
10,5,100,2,0.917570498915403,-0.248872779421873,0.046875
10,2,50,2,0.924078091106292,-0.249042674600162,0.125
10,5,200,2,0.91540130151844,-0.25763201602379,0.03125
10,4,100,2,0.919739696312366,-0.259352294513458,0.1875
10,2,200,2,0.926247288503256,-0.272837778533169,0.171875
