number_of_trees,leafs,number_of_splits,number_of_predictors,accuracy,ce,time
40,3,200,4,0.967462039045554,-0.0479399046677265,0.21875
50,3,200,4,0.968908170643529,-0.0480979142465156,0.171875
10,3,200,4,0.955169920462763,-0.0481594552232359,0.140625
40,4,100,6,0.96240057845264,-0.0483631319897888,0.140625
40,3,100,4,0.969631236442517,-0.0484186815558165,0.375
20,3,200,4,0.966738973246566,-0.0488078175702839,0.140625
50,3,100,4,0.966738973246566,-0.0489718166808129,0.265625
40,4,200,6,0.969631236442517,-0.0491008338717696,0.171875
10,4,200,6,0.958062183658714,-0.0493072011700337,0.046875
20,3,100,4,0.964569775849603,-0.0493700731006847,0.109375
20,4,100,6,0.96240057845264,-0.0493897454704068,0.140625
40,4,50,6,0.96240057845264,-0.0495707703755473,0.140625
10,4,100,6,0.951554591467825,-0.049610234144607,0.046875
20,4,50,6,0.960954446854665,-0.0500555796067563,0.265625
20,4,200,6,0.961677512653652,-0.0501155413773754,0.140625
10,3,100,4,0.950108459869849,-0.0525454545093734,0.1875
40,3,50,4,0.968185104844542,-0.0540566292631888,0.171875
20,5,50,6,0.964569775849603,-0.0548981139625891,0.171875
20,5,100,6,0.961677512653652,-0.0553544319302678,0.078125
50,5,200,6,0.961677512653652,-0.05546566748649,0.234375
50,2,50,4,0.964569775849603,-0.0555643535357528,0.28125
50,5,50,6,0.961677512653652,-0.0557965953519316,0.203125
40,5,200,6,0.960231381055677,-0.0558698565074394,0.125
10,3,50,4,0.955892986261751,-0.0559351791318399,0.046875
10,5,200,6,0.960231381055677,-0.0561562860289731,0.046875
50,5,100,6,0.966015907447579,-0.0569902571967376,0.359375
50,3,50,4,0.963123644251628,-0.0571176103267144,0.28125
40,2,50,4,0.97180043383948,-0.0572484439228143,0.40625
10,5,50,6,0.955892986261751,-0.0574444508367201,0.09375
20,2,50,4,0.963846710050616,-0.0575112236091549,0.203125
50,4,100,4,0.964569775849603,-0.0577551718347036,0.390625
40,5,100,6,0.965292841648591,-0.0582033416185596,0.171875
40,5,50,6,0.958062183658714,-0.0582458770940586,0.1875
10,5,100,6,0.955892986261751,-0.0582597353717957,0.046875
40,4,200,4,0.970354302241505,-0.0584101091387541,0.28125
40,4,100,4,0.965292841648591,-0.0585943676042144,0.140625
50,4,200,4,0.964569775849603,-0.060297570986022,0.234375
20,4,200,4,0.964569775849603,-0.0606131742575906,0.140625
10,4,200,4,0.946493130874911,-0.0607101448045326,0.046875
20,5,200,6,0.956616052060739,-0.0607690798740177,0.09375
10,2,50,4,0.950831525668837,-0.0609018299759702,0.171875
20,4,100,4,0.959508315256689,-0.0611991427620144,0.203125
20,3,50,4,0.964569775849603,-0.0614062760707505,0.09375
50,4,50,4,0.966015907447579,-0.0624908950178624,0.265625
40,4,50,4,0.958785249457702,-0.06255890155977,0.203125
10,4,100,4,0.958062183658714,-0.0630417178020285,0.09375
10,4,50,4,0.961677512653652,-0.0632279249839961,0.09375
20,4,50,4,0.955892986261751,-0.0672719837206664,0.140625
40,5,100,4,0.96240057845264,-0.0680358655089466,0.125
40,5,50,4,0.96240057845264,-0.0700406615338017,0.1875
20,5,100,4,0.960231381055677,-0.0701464258798198,0.09375
40,5,200,4,0.958062183658714,-0.0708875059975413,0.234375
50,5,100,4,0.965292841648591,-0.070921679658219,0.21875
10,5,100,4,0.958062183658714,-0.0710210449670864,0.046875
10,5,200,4,0.950831525668837,-0.0710447603756303,0.0625
50,5,50,4,0.963846710050616,-0.0716704992213735,0.265625
20,5,50,4,0.958062183658714,-0.0722278708492259,0.203125
50,5,200,4,0.963123644251628,-0.0724869484382467,0.359375
20,5,200,4,0.956616052060739,-0.0735893686917291,0.1875
10,5,50,4,0.955169920462763,-0.078709705358734,0.09375
50,2,200,2,0.964569775849603,-0.114724093470248,0.265625
50,2,100,2,0.965292841648591,-0.117796760726787,0.21875
40,2,100,2,0.964569775849603,-0.118162794466966,0.15625
20,2,200,2,0.955169920462763,-0.12253813182055,0.125
10,2,200,2,0.926970354302243,-0.124758989929748,0.21875
20,2,100,2,0.956616052060739,-0.12505476374557,0.078125
40,2,200,2,0.960231381055677,-0.126079109208259,0.265625
10,2,100,2,0.932031814895157,-0.127524302978059,0.828125
